age,education_num,hours_per_week,capital_gain,capital_loss,sex,income_bin
28,11,42,99999,0,0,1
22,10,25,0,0,1,0
48,7,61,0,0,1,1
48,9,49,0,0,0,1
45,12,25,2174,0,1,1
40,2,31,0,0,1,0
67,9,56,14084,0,1,1
33,9,36,7688,0,0,0
36,9,34,15024,0,1,1
49,14,28,0,0,1,0
32,9,22,0,0,0,0
55,12,52,5178,0,1,1
25,2,35,0,0,1,0
40,11,21,0,0,1,0
48,7,35,0,0,1,0
39,9,26,0,0,1,0
32,14,37,0,0,1,1
36,10,48,7688,0,1,1
36,11,38,0,0,1,0
19,14,44,0,0,1,0
22,11,35,0,0,0,1
41,13,27,0,0,1,0
46,9,41,0,0,1,0
37,7,30,0,2824,1,0
40,9,19,0,0,0,0
62,14,47,0,0,1,1
32,13,44,0,0,1,0
38,5,53,0,0,0,0
37,9,51,0,0,0,0
44,13,38,0,0,1,1
46,9,12,0,0,1,0
37,9,40,0,0,1,0
47,9,14,0,0,1,0
52,14,26,0,0,1,0
41,12,25,0,0,1,1
30,5,29,0,0,0,0
43,5,17,0,0,0,0
38,15,18,0,0,0,0
57,13,40,0,0,1,1
41,13,53,0,0,1,1
51,11,25,0,0,0,1
39,9,37,0,0,1,0
28,9,29,0,0,1,0
41,16,35,2174,0,1,0
39,16,27,14084,0,1,0
35,6,36,0,0,0,0
18,8,53,0,0,0,0
47,5,34,0,0,1,0
67,11,30,0,0,1,0
56,9,30,0,0,1,0
44,9,35,0,0,1,0
37,11,48,0,0,0,1
41,7,47,0,0,1,1
54,7,75,0,0,1,0
34,9,27,0,0,1,0
49,11,29,0,0,0,0
39,9,31,0,0,0,0
37,9,35,0,0,1,0
33,12,32,0,0,1,0
40,2,30,0,0,1,0
59,7,19,0,0,1,0
37,11,6,0,0,0,1
24,9,36,0,0,1,0
25,5,38,0,0,0,0
40,9,19,0,0,1,0
27,13,30,0,0,1,1
35,13,69,7688,0,1,0
58,10,69,0,0,1,0
37,9,40,0,0,0,0
43,12,39,0,0,1,0
17,7,33,7688,0,0,0
51,9,37,0,0,0,0
32,9,53,0,0,1,0
59,14,52,0,0,1,0
27,14,34,0,0,0,0
51,13,33,5178,0,1,1
48,9,67,0,1902,0,0
49,12,35,0,0,0,0
35,5,36,0,0,1,0
32,10,47,0,0,0,0
41,14,61,0,0,1,0
26,9,41,0,2042,0,0
52,9,48,0,1977,0,0
43,9,49,0,0,1,1
45,7,46,0,0,0,0
50,9,47,0,2042,0,0
55,7,18,0,0,1,0
49,9,46,0,0,0,0
34,7,63,0,0,1,0
44,7,49,0,0,1,0
30,13,59,0,0,1,0
36,3,27,0,2392,1,0
39,7,44,0,0,1,0
41,9,50,0,0,1,0
33,13,41,0,0,0,0
37,12,16,0,0,1,0
35,7,35,14084,0,0,0
28,9,50,0,0,1,0
20,8,39,0,1902,1,0
28,9,10,0,0,0,0
43,7,40,0,0,1,0
43,14,20,0,0,0,1
38,10,44,0,0,1,0
52,9,38,0,0,1,0
21,9,48,15024,0,1,0
26,10,38,0,0,1,0
31,10,36,0,0,0,0
65,7,20,0,0,1,0
24,7,30,0,0,0,0
51,13,44,0,2042,0,0
56,9,47,0,0,0,1
60,9,38,0,0,1,0
44,9,52,0,0,1,0
36,10,34,0,0,0,0
64,11,43,0,0,0,1
49,9,29,0,0,1,0
39,9,34,0,0,1,1
61,10,32,0,0,1,0
54,9,34,0,0,1,0
35,10,52,0,0,1,0
31,9,59,0,0,1,0
29,8,47,0,0,0,0
48,7,40,0,0,0,1
37,10,43,0,0,1,0
59,9,37,0,0,1,0
40,13,43,0,0,1,0
28,9,37,0,0,0,0
60,9,52,0,0,1,0
37,13,38,0,0,1,0
47,4,37,0,0,1,0
33,7,49,0,0,0,0
36,14,21,0,0,1,0
43,7,58,99999,0,1,1
33,7,25,0,0,1,0
47,7,33,0,0,0,0
41,13,50,0,0,1,1
31,9,43,0,0,0,0
36,7,47,99999,0,1,1
46,13,30,0,0,1,0
31,7,29,0,0,1,0
29,13,64,0,0,0,0
31,11,46,0,0,0,0
23,9,58,0,0,0,0
53,9,38,0,0,0,1
43,13,38,0,0,1,0
27,9,46,0,0,1,0
39,16,51,0,0,0,0
58,8,60,0,0,1,0
69,7,47,0,0,1,0
45,16,51,0,0,1,0
17,15,59,0,0,1,0
47,9,56,0,0,1,0
34,13,44,0,0,1,1
33,7,32,0,0,0,0
42,4,24,0,0,0,0
51,13,58,0,0,0,0
29,9,42,7688,0,0,0
36,7,25,0,0,1,0
48,9,43,0,0,1,0
40,13,30,0,0,0,0
33,2,64,0,0,1,0
25,14,38,0,0,0,0
27,9,46,0,0,1,1
39,1,27,0,0,1,0
67,9,34,2174,0,1,0
24,9,59,0,0,1,0
45,13,44,99999,0,1,1
45,13,30,5178,0,1,0
29,9,49,0,0,1,1
21,7,28,0,0,1,0
40,8,24,0,0,1,0
35,11,34,0,0,0,0
62,14,57,0,0,1,1
30,4,30,14084,0,0,0
40,9,50,0,0,1,0
35,13,15,0,0,1,1
43,7,51,0,0,1,0
51,4,48,5178,0,0,0
50,10,35,0,0,1,1
37,13,8,0,0,0,0
28,13,30,0,1977,1,0
37,14,50,0,0,0,0
22,12,24,0,0,0,0
39,13,48,0,0,1,0
40,10,41,0,0,1,0
39,7,58,0,0,1,0
31,8,41,0,0,1,0
39,9,38,0,0,1,0
27,10,45,0,0,0,0
41,9,40,0,0,1,0
37,7,30,0,0,1,0
41,9,26,99999,0,1,1
53,9,43,99999,0,1,1
47,9,31,0,0,1,0
41,13,47,0,0,0,0
62,7,44,0,0,0,0
40,9,22,0,0,0,0
31,9,57,15024,0,1,0
47,13,42,0,0,0,0
40,12,29,0,0,1,1
32,7,42,0,0,1,0
18,9,41,0,0,1,0
42,9,61,0,0,1,0
50,7,24,0,0,0,0
34,7,30,0,0,0,0
43,7,33,0,2824,0,0
49,10,43,0,0,0,1
36,10,17,0,0,0,0
43,14,55,0,0,1,0
46,9,51,0,0,1,0
37,7,52,0,0,1,0
20,11,27,0,0,1,0
34,13,46,0,0,1,0
38,13,34,0,0,1,1
53,16,55,0,0,1,1
52,14,45,0,0,0,0
25,11,27,0,0,1,0
50,7,37,0,0,1,1
27,11,60,14084,0,1,0
33,9,14,0,0,1,1
30,2,52,0,0,1,0
29,13,16,0,0,1,0
44,11,28,0,0,0,0
31,15,27,0,0,1,1
43,9,42,0,0,0,1
46,13,36,0,0,0,0
28,7,40,0,0,1,1
39,9,63,0,0,1,0
37,12,44,0,0,1,0
20,9,36,0,0,0,0
54,12,64,0,0,1,1
58,16,42,0,0,0,1
31,9,31,0,0,1,0
24,14,54,0,0,1,1
48,9,49,15024,0,1,0
25,12,29,2174,0,1,0
30,13,34,0,0,1,0
50,7,27,7688,0,0,0
41,10,26,0,0,1,1
43,6,41,0,0,1,0
50,11,49,0,0,1,1
48,14,33,0,0,0,0
45,7,43,0,0,0,0
28,9,47,0,1902,1,0
23,10,43,0,2824,0,0
31,7,41,0,0,1,0
38,10,39,0,0,0,0
64,13,54,0,0,1,0
42,13,48,0,0,1,0
42,9,30,0,0,0,0
37,12,50,0,0,1,0
49,11,65,0,0,1,0
40,13,27,0,0,1,0
51,9,23,0,0,1,0
34,8,49,0,0,0,0
54,5,38,0,0,1,1
42,13,62,0,0,0,1
44,13,50,15024,0,1,1
50,10,41,0,0,1,1
35,7,68,0,0,1,1
28,9,41,0,0,1,0
28,5,59,0,0,1,0
30,13,36,0,0,0,0
46,9,38,0,0,1,0
40,6,11,0,0,0,0
21,7,40,0,0,0,0
47,7,42,0,0,1,0
39,11,59,0,0,1,1
53,6,61,0,0,1,0
39,7,26,0,0,1,0
36,10,56,0,0,1,0
26,1,38,15024,0,1,1
34,9,41,99999,0,1,1
43,14,31,0,0,1,1
27,7,36,0,0,0,0
47,13,22,0,0,1,0
35,9,55,0,0,0,0
35,16,44,0,0,1,1
31,9,51,0,0,1,0
40,6,28,0,0,1,0
49,10,46,0,0,0,0
36,10,11,0,0,1,0
42,9,41,0,0,1,1
54,9,32,0,0,1,1
24,8,17,0,0,1,1
58,10,29,0,0,1,0
17,13,38,0,0,1,1
55,8,45,0,0,1,0
50,12,35,0,0,0,1
63,9,46,14084,0,1,1
49,7,42,5178,0,0,0
22,11,32,0,0,0,0
35,9,45,0,0,0,0
19,4,30,0,0,1,0
32,9,27,99999,0,1,1
48,13,47,0,0,0,1
40,7,28,0,0,0,1
44,9,35,0,0,1,0
64,5,43,0,0,1,0
54,13,56,0,0,1,0
27,10,51,0,0,1,0
34,9,43,0,0,1,0
41,9,26,0,0,1,0
56,7,43,0,0,0,1
52,9,36,0,0,1,0
24,13,46,0,0,1,1
31,7,38,0,0,1,0
37,13,54,0,0,1,1
42,13,31,0,0,1,1
43,12,49,5178,0,0,1
63,9,53,0,2042,1,1
50,3,50,0,0,1,0
28,9,38,0,0,0,0
42,14,37,0,0,1,0
51,13,56,0,0,0,1
48,12,40,0,0,1,1
53,9,35,0,0,1,0
31,9,30,0,0,1,0
53,6,46,0,0,1,0
45,9,45,0,0,1,0
32,13,59,0,0,1,1
42,13,38,0,0,0,1
58,13,36,0,0,1,0
58,13,44,0,0,1,1
30,9,25,2174,0,0,0
34,10,56,2174,0,1,0
31,10,32,0,0,1,0
45,7,30,0,0,1,0
35,10,38,0,0,1,1
24,12,29,0,0,1,0
32,9,8,0,0,1,0
28,6,38,0,0,1,0
36,9,32,0,0,1,0
45,11,25,0,1902,1,0
27,9,58,0,0,1,0
52,9,43,0,0,1,1
28,7,41,0,0,1,0
58,12,34,0,0,0,1
42,13,49,0,0,1,1
42,9,45,0,0,1,0
33,10,41,0,0,1,0
47,6,46,0,0,0,0
27,11,50,0,0,0,1
29,15,49,0,0,0,0
42,10,59,0,0,0,1
33,12,44,0,0,1,0
58,11,45,0,0,1,1
42,7,72,0,0,0,0
29,9,65,0,0,1,0
51,14,51,0,0,0,0
36,12,71,0,0,0,0
30,4,40,0,0,1,0
26,9,45,0,0,1,0
38,14,49,0,0,1,1
43,13,38,0,0,1,0
37,7,51,0,0,0,0
39,11,42,0,0,1,0
49,10,59,0,0,0,0
40,7,39,0,0,1,0
42,9,22,0,0,1,0
30,14,30,14084,0,1,1
25,9,36,0,0,1,0
26,13,32,0,0,1,1
19,7,34,0,0,1,0
28,14,31,0,0,1,0
55,9,24,0,0,0,0
38,7,38,5178,0,0,0
46,13,36,0,0,1,0
59,9,46,0,2824,1,1
50,7,27,0,0,0,0
25,11,32,0,0,1,0
40,7,21,0,0,1,0
44,9,62,0,0,1,0
58,13,39,0,0,1,1
56,5,33,0,0,0,0
28,13,36,0,0,1,0
34,9,8,0,0,0,0
42,13,32,0,0,1,1
25,7,68,0,0,1,0
23,8,39,2174,2824,0,0
35,7,25,0,0,1,0
27,9,40,0,0,0,0
21,7,40,0,0,1,0
30,10,53,0,0,1,0
37,9,32,0,0,1,1
37,13,53,0,0,1,0
45,5,50,0,0,0,0
33,9,37,0,1977,1,0
48,10,48,0,0,1,0
39,9,48,0,0,0,1
44,13,48,0,0,1,0
31,8,67,0,0,1,0
27,9,42,0,0,1,0
58,9,53,0,0,1,0
21,10,26,0,0,1,0
44,7,43,99999,0,0,1
36,9,57,0,0,1,0
31,8,29,0,0,1,0
17,7,39,0,0,0,0
36,9,43,0,0,1,0
29,13,44,0,0,1,0
58,5,41,0,0,1,0
56,5,27,0,0,0,0
47,9,27,0,0,1,0
66,11,43,0,0,1,1
44,10,63,0,0,0,0
35,9,57,0,0,1,0
47,7,45,0,0,1,0
50,9,33,0,0,1,1
49,7,34,0,0,1,0
24,7,36,15024,0,1,0
43,7,37,0,0,1,0
47,9,37,0,0,1,1
57,9,35,0,0,0,0
59,7,25,0,0,1,0
69,11,35,0,0,1,1
31,13,25,0,0,1,0
34,11,34,14084,0,1,0
30,11,58,0,0,1,0
63,10,25,0,0,0,0
29,10,36,0,0,1,0
53,9,33,0,0,1,0
36,7,42,0,0,0,0
54,13,59,0,0,1,1
32,6,37,0,0,1,0
29,13,33,0,0,0,0
34,13,22,0,0,1,0
47,14,53,0,0,0,1
37,9,71,0,0,0,0
33,9,54,0,0,0,0
65,7,42,0,0,1,0
37,13,50,0,0,1,1
28,13,26,0,0,0,0
47,6,29,0,0,1,0
52,7,38,0,0,1,1
40,13,52,0,0,0,0
29,9,18,0,0,1,1
57,9,44,0,0,1,0
29,7,42,0,0,1,0
43,13,45,2174,0,0,0
38,14,34,0,0,1,0
35,10,52,0,0,1,0
46,9,46,15024,0,1,1
33,13,14,0,0,1,0
23,13,25,0,0,1,0
24,9,21,0,0,1,0
51,13,43,0,0,0,0
24,7,38,0,0,1,0
26,9,28,0,0,1,0
67,13,33,0,0,1,1
36,13,46,0,0,0,1
56,9,39,0,0,1,0
37,9,37,0,0,1,1
34,9,58,0,0,1,1
51,10,24,0,0,0,0
26,9,30,0,0,0,0
35,9,71,0,0,0,0
49,7,16,0,0,1,0
47,14,43,0,0,0,0
65,6,29,0,0,0,0
25,14,23,0,0,1,0
30,7,61,0,0,0,1
41,11,61,7688,0,0,0
51,13,52,0,0,0,1
24,9,17,0,0,1,0
36,9,32,0,0,0,1
63,9,22,0,0,0,1
27,8,7,0,0,1,0
52,7,48,0,0,1,0
34,14,53,0,0,1,0
43,14,48,0,0,0,0
52,9,33,0,0,0,0
35,7,44,0,0,0,0
41,9,41,0,0,0,0
38,9,48,0,0,0,0
60,13,34,0,0,1,1
34,9,22,0,2392,0,0
26,16,30,2174,0,1,0
41,14,57,0,0,1,1
54,9,44,0,0,0,0
51,5,31,0,0,1,0
42,7,43,0,0,0,0
28,7,45,0,0,1,0
28,14,56,0,0,0,0
39,9,37,0,0,1,1
39,7,43,0,0,1,0
40,9,19,0,0,0,0
48,9,38,0,0,0,0
56,9,13,0,0,1,1
49,6,47,0,0,1,0
59,9,61,0,0,0,0
40,14,55,0,0,0,1
40,13,12,0,0,0,0
61,5,51,0,0,1,0
58,9,56,0,0,1,0
61,9,49,0,0,1,1
21,11,38,7688,0,1,0
46,11,43,0,0,1,1
24,7,23,0,0,1,0
54,13,38,0,0,0,1
28,9,45,0,0,1,0
28,13,49,0,0,1,0
34,14,37,0,0,0,1
24,7,47,0,0,0,0
60,12,34,15024,0,1,1
30,9,30,0,0,1,0
41,5,39,0,0,1,0
47,10,50,0,0,1,1
54,11,33,0,0,1,0
34,7,47,0,2392,1,0
50,7,24,0,0,1,0
57,9,36,0,0,0,0
42,13,53,0,0,1,0
61,9,39,0,0,1,0
45,9,34,0,0,0,0
40,13,27,0,0,0,0
39,6,55,0,0,1,0
42,5,42,0,0,1,0
60,14,62,0,0,1,0
37,9,25,0,0,0,1
44,13,45,0,0,1,1
26,9,41,0,0,0,1
42,13,43,0,0,0,0
42,7,20,0,0,1,0
17,9,38,0,0,1,0
51,11,52,0,0,1,0
51,9,37,0,0,0,0
36,9,52,14084,0,1,1
25,13,62,0,0,1,0
51,16,37,0,0,0,1
38,2,50,0,0,0,0
33,14,51,0,0,1,0
24,9,44,0,0,1,0
47,10,36,0,0,0,0
49,14,40,0,0,0,1
39,7,50,0,0,1,0
36,8,43,0,0,1,0
45,13,57,0,2824,1,0
30,9,22,0,0,0,0
31,9,42,0,0,1,0
25,14,50,2174,0,0,0
35,11,20,0,0,1,0
38,9,34,7688,0,0,0
38,13,52,0,0,1,0
45,7,32,0,0,1,0
29,7,35,0,0,0,0
42,9,57,0,0,1,0
40,9,56,0,0,0,0
28,9,58,0,0,1,1
54,10,29,0,0,1,0
29,9,61,0,0,1,0
42,9,43,0,0,1,0
51,8,25,0,0,1,1
45,15,53,0,0,1,0
19,13,37,14084,0,1,0
44,8,42,0,0,1,0
42,10,38,0,0,1,0
58,8,44,0,0,0,0
54,9,31,0,0,1,0
32,15,30,0,0,1,0
38,11,30,0,0,1,0
54,10,13,0,0,1,1
22,9,59,0,0,0,0
