default,student,balance,income
No,No,910.38,44662.81
No,No,1024.34,40078.9
No,No,739.25,22016.25
No,Yes,353.4,47807.98
No,No,1410.18,17234.05
No,No,1053.05,34311.03
No,Yes,1460.13,33548.6
No,No,953.35,39178.94
No,No,713.83,23841.62
No,No,1241.17,33050.0
No,No,719.22,31640.69
No,Yes,930.02,46813.17
No,No,928.65,22901.68
No,No,385.38,34486.13
No,No,380.44,30032.1
No,Yes,485.65,16205.25
No,No,0.0,69204.64
No,Yes,282.68,32566.22
No,No,1574.87,13689.93
No,No,1001.7,52301.45
No,No,842.82,19238.67
No,No,941.18,38461.92
No,No,767.48,45022.73
No,No,621.19,24868.51
No,No,1735.15,27769.65
No,Yes,451.21,26310.96
No,No,1171.8,31790.84
No,No,0.0,11878.86
No,Yes,595.26,17037.55
No,No,1086.87,31638.47
No,Yes,1479.83,47371.47
No,No,0.0,41940.94
No,No,389.47,56579.51
No,No,296.63,42771.88
No,Yes,826.7,26699.58
No,No,863.15,31877.76
No,No,429.49,6438.67
No,No,1491.87,20703.1
No,No,1380.23,19908.49
No,No,1342.84,37124.63
No,No,1030.56,42155.46
No,No,872.09,26042.86
No,No,1398.52,25667.74
No,No,1140.17,12891.13
No,No,1339.18,31812.17
No,Yes,1360.03,36825.57
No,No,0.0,39460.93
No,Yes,0.0,23077.79
No,Yes,388.84,60034.5
No,No,219.74,49453.3
No,No,1081.93,32245.91
No,No,812.17,26485.42
No,No,440.66,29227.35
No,No,179.89,35531.47
No,No,1246.17,33267.58
No,No,592.33,39964.34
No,Yes,1258.8,43770.92
No,Yes,666.81,51736.21
No,No,1205.86,48815.92
No,No,953.8,32045.98
No,No,232.25,38693.71
No,No,870.87,28353.27
No,No,1791.2,25684.83
No,Yes,1371.69,58998.79
No,No,941.24,27383.49
No,No,1493.92,60064.48
No,Yes,451.01,28861.26
No,No,613.66,36887.68
No,No,1606.01,48044.37
No,No,299.93,33835.02
No,Yes,23.21,38758.72
No,Yes,283.55,30296.89
No,Yes,1068.7,27174.4
No,No,463.55,31305.2
No,No,1326.57,24851.37
Yes,Yes,1929.61,55272.12
No,No,259.32,31279.57
No,No,1043.97,56489.52
No,Yes,1152.72,772.0
No,No,905.57,33761.66
No,Yes,560.04,41010.19
No,No,624.88,29597.6
No,Yes,259.99,48114.29
No,Yes,1123.71,42046.94
No,Yes,0.0,29853.93
No,No,964.03,39317.28
No,No,596.9,71015.21
No,No,1325.37,36876.61
No,No,1035.97,37510.16
No,Yes,1248.83,27648.28
No,No,1411.25,35296.32
No,No,0.0,16322.41
No,No,779.57,30871.6
No,No,1011.6,66290.39
No,No,786.91,47748.39
No,No,316.58,42069.99
No,No,1409.95,48237.9
No,No,668.32,58611.08
No,Yes,1041.01,41432.09
No,No,1574.43,61133.24
No,Yes,507.34,47782.83
No,No,591.3,35736.7
No,No,646.42,56446.94
No,No,933.51,2053.51
No,No,141.05,25896.49
No,No,418.63,37060.54
No,No,954.97,21352.36
No,No,935.19,31434.81
No,No,789.89,24997.08
No,No,489.27,24788.72
No,No,470.28,69682.25
No,No,984.39,41883.99
No,Yes,441.95,32796.55
No,Yes,835.39,51055.07
No,Yes,1100.0,30350.87
No,No,682.43,45322.89
No,No,699.31,38194.48
No,No,816.67,55207.99
No,Yes,1040.85,14580.6
No,No,740.59,43727.66
No,No,968.87,35146.32
No,No,1067.97,18081.14
No,No,1719.03,47724.44
No,No,1091.67,21882.0
No,No,1196.12,55110.16
No,No,806.95,40358.61
No,No,130.18,42790.97
No,No,604.02,34588.98
No,No,1222.11,45578.79
No,No,872.18,8635.68
No,No,669.34,34512.57
No,No,281.86,25137.65
No,No,601.55,37285.56
No,No,1748.89,32887.12
No,Yes,1127.31,41738.68
No,No,1129.08,22345.35
No,No,883.72,58042.93
No,Yes,562.23,64400.29
No,No,614.17,30738.33
No,No,1080.21,33316.32
No,Yes,1374.06,37350.87
No,Yes,1168.35,50373.85
No,No,876.94,58813.07
No,No,1015.65,17435.41
No,No,1404.53,25312.91
No,Yes,579.26,19351.09
No,Yes,470.31,18675.95
No,No,1585.36,11654.35
No,Yes,894.86,38354.35
Yes,No,1834.46,18059.09
No,No,355.44,53563.5
No,Yes,60.4,45629.34
No,Yes,557.98,19783.79
No,No,1440.11,19777.14
No,Yes,874.99,25349.24
No,Yes,266.78,52185.94
No,No,108.24,22185.64
No,Yes,45.18,13598.02
No,No,473.52,32856.88
No,No,2003.95,38495.53
No,Yes,1208.07,24750.81
No,No,492.79,55112.73
No,No,852.97,36722.73
No,No,871.31,39557.71
No,No,1173.51,22106.62
No,Yes,751.22,32986.16
No,No,819.68,31428.67
No,Yes,968.09,3213.35
No,No,1775.21,37352.2
No,No,1215.83,9580.45
No,Yes,1066.99,33132.11
No,No,968.43,13859.5
No,No,261.16,60450.06
No,No,389.33,37867.03
No,No,464.78,45003.07
No,Yes,1099.27,45771.89
No,No,1233.97,15852.62
No,Yes,553.52,3086.02
No,Yes,1188.94,29120.75
No,Yes,238.23,45480.39
No,No,995.31,34730.04
No,No,995.78,43990.52
No,No,1136.61,46006.93
No,Yes,1417.15,13613.39
No,Yes,649.06,37352.55
No,Yes,500.31,59740.91
No,No,910.27,25907.38
No,No,977.86,6456.29
No,Yes,631.51,30423.32
No,No,1158.93,27319.18
No,No,1315.93,39095.53
No,No,367.23,21614.87
No,No,561.8,34725.8
No,No,1098.76,3944.52
No,No,1161.88,44904.46
No,No,574.03,54678.45
No,Yes,780.64,50824.5
No,No,1779.79,13309.08
No,No,5.14,37772.8
No,Yes,1430.69,772.0
No,No,0.0,37292.57
No,No,1112.15,32657.69
No,Yes,216.26,20236.09
No,No,347.96,38100.84
No,No,171.61,35356.56
No,No,851.39,46045.21
No,Yes,575.12,35213.79
No,No,615.63,36650.32
No,No,1096.27,7576.52
No,Yes,237.57,18049.93
No,Yes,1255.42,27169.41
No,Yes,592.62,37474.72
No,No,647.33,33432.0
No,No,1343.27,53531.87
No,No,100.61,21911.56
No,No,26.96,30320.27
No,No,758.1,36917.76
No,No,1186.15,30428.75
No,Yes,1276.33,40125.06
No,No,246.91,25906.97
No,No,1029.08,52457.68
No,No,692.04,29253.95
No,No,1382.36,48398.24
No,No,929.92,33111.87
No,No,759.8,53406.94
No,Yes,607.92,14870.72
No,No,1165.86,40408.01
No,No,1549.55,27747.16
No,No,2111.12,36601.96
No,No,51.4,49423.25
No,No,649.66,18325.01
No,No,1008.11,15885.41
No,No,523.25,20201.78
No,No,1059.83,36908.51
No,No,636.53,8353.14
No,Yes,863.6,34804.17
No,No,586.43,16362.85
No,No,1425.17,18263.33
No,No,1408.37,28592.65
No,No,966.15,38591.65
No,No,796.68,25162.14
No,Yes,737.62,26954.1
No,No,226.61,32957.97
Yes,Yes,1643.17,29878.8
No,No,1085.47,772.0
No,No,598.35,27780.18
No,Yes,955.81,34649.08
No,No,947.28,48155.99
No,No,854.21,60805.89
No,No,1046.48,42410.95
No,Yes,989.08,34570.77
No,No,0.0,20649.91
No,No,1659.16,34703.62
No,No,106.39,43903.37
No,Yes,1285.76,50381.3
No,No,0.0,21773.5
No,No,311.97,36668.71
No,No,828.37,44392.9
No,Yes,945.92,58331.78
No,Yes,954.7,36924.55
No,No,514.03,26294.51
No,No,400.91,24319.5
No,Yes,867.38,28749.17
No,Yes,710.46,24821.99
No,No,399.79,44538.68
No,No,495.42,47776.26
No,No,956.96,43182.69
No,Yes,0.0,49415.0
No,Yes,937.25,27464.54
No,No,482.66,38588.15
No,Yes,604.06,28386.13
No,Yes,795.8,34098.23
No,No,879.73,49852.41
No,Yes,1316.55,33119.45
No,No,1266.54,8646.95
No,Yes,939.29,30144.45
No,No,0.0,24009.44
No,Yes,526.64,13393.08
No,No,975.18,22975.68
No,No,1318.2,46326.89
No,No,137.89,55932.62
No,No,771.2,26994.62
No,Yes,339.86,46885.82
No,No,469.73,49228.77
No,No,1137.1,18049.01
No,No,1465.38,32991.06
No,Yes,1240.15,32923.08
No,Yes,662.34,35814.94
No,No,933.95,12261.74
No,No,592.88,28859.84
No,No,964.36,47623.1
No,No,881.34,50348.74
No,No,368.97,57939.04
No,No,1567.32,29014.98
No,Yes,1179.94,58447.75
No,No,906.5,42396.51
No,No,490.25,15389.69
No,No,759.11,43672.82
No,No,867.86,28817.99
No,No,10.54,40438.4
No,No,213.73,32148.74
No,No,1021.05,49629.07
No,No,1162.53,36937.49
No,Yes,917.12,29748.51
No,Yes,0.0,46384.78
No,No,705.73,36932.97
No,Yes,1154.54,28008.81
No,No,672.14,50549.73
No,Yes,536.17,28070.31
No,No,959.16,25019.17
No,No,553.01,26320.23
No,No,0.0,13972.46
No,Yes,794.72,26138.43
No,No,863.88,58332.66
No,No,381.69,21403.13
No,Yes,1269.0,33628.27
No,No,1171.04,18737.27
No,No,979.35,25362.99
No,Yes,394.94,53769.28
No,Yes,1302.75,45469.8
No,No,829.94,25377.7
No,No,242.97,33598.95
No,No,197.05,22500.41
No,Yes,783.52,23057.84
No,No,1070.59,21315.93
Yes,Yes,1853.87,21551.74
No,Yes,1682.12,37862.86
No,Yes,0.0,41474.83
No,No,1070.99,40027.2
No,No,1175.26,31256.39
Yes,Yes,1250.78,15405.11
No,No,1001.04,32621.01
No,No,696.39,21189.62
No,No,752.94,45269.03
No,No,232.32,40936.72
No,Yes,461.02,43476.55
No,No,1240.51,28870.16
No,No,370.04,9364.25
No,No,1021.14,46290.51
No,No,1528.54,49870.22
No,Yes,720.67,13734.49
No,No,1065.3,35355.25
No,No,383.01,49429.22
No,No,1159.04,19170.15
No,No,1183.7,57089.82
No,No,572.09,28861.3
No,No,974.94,19174.6
No,Yes,918.63,51808.43
No,No,593.84,37443.88
No,No,0.0,24805.75
No,No,863.86,45248.85
No,No,1401.24,7433.89
No,No,695.81,57724.93
No,No,66.56,22630.49
No,No,182.35,37329.89
No,No,177.93,28200.05
No,Yes,926.4,39333.59
No,No,269.67,45357.38
No,Yes,634.55,22528.65
No,No,822.06,44002.94
No,No,317.64,29594.77
No,No,377.24,24342.71
No,No,1251.48,30528.15
No,Yes,1060.22,20118.54
No,No,312.39,22904.98
No,Yes,1458.77,46173.65
No,Yes,0.0,31504.62
No,No,515.33,48739.49
No,No,962.5,39273.91
No,Yes,1530.18,19833.69
No,No,757.89,8205.99
No,No,405.6,24350.94
No,Yes,450.32,37038.39
No,No,424.03,33633.53
No,Yes,615.56,22445.84
No,No,1097.94,47022.86
No,No,1382.3,10235.03
No,No,961.99,16730.69
No,No,1141.07,35213.61
No,Yes,1185.81,62772.03
No,No,480.72,39036.23
No,No,937.13,20110.12
No,No,766.37,41419.68
No,No,235.88,42629.78
No,Yes,453.84,46023.26
No,No,644.16,28050.05
No,No,486.42,22850.85
No,No,842.53,35092.55
No,Yes,115.43,39054.11
No,No,1574.61,54830.07
No,No,438.0,61383.56
No,Yes,306.47,23739.78
No,No,665.16,26541.65
No,Yes,469.08,32668.19
Yes,Yes,1943.1,30185.04
No,No,333.13,39994.5
No,Yes,1009.82,39993.79
No,Yes,1123.97,36955.31
No,No,456.91,51440.53
No,No,1092.74,31402.1
No,No,608.15,19502.43
Yes,Yes,1291.3,12703.82
No,No,1077.15,19804.73
No,No,880.7,19589.78
No,No,1681.84,8398.66
No,No,822.74,42360.27
No,No,0.0,35986.73
No,Yes,321.93,27877.64
No,No,594.1,21648.44
No,No,766.65,12432.51
No,No,494.72,21250.62
No,Yes,1418.42,58159.72
No,No,1220.33,4032.88
No,No,1150.0,35407.19
No,No,872.16,43433.14
No,Yes,1055.32,35331.46
No,No,897.34,29291.09
No,No,1494.39,43759.03
No,No,1483.85,18802.01
No,No,906.94,40924.75
No,No,39.05,52595.78
No,Yes,0.0,19628.23
No,Yes,999.2,22582.7
No,No,507.01,35328.9
Yes,Yes,1823.89,46712.94
No,Yes,1266.29,51374.88
No,No,1058.53,42592.84
No,Yes,1076.49,24587.51
Yes,Yes,1261.65,18654.19
No,No,433.81,36756.36
No,No,712.63,38827.16
No,No,1432.5,18839.03
No,No,931.56,34313.37
No,Yes,977.93,37946.72
No,No,1105.16,47452.97
No,No,321.46,20305.86
No,No,671.47,40943.68
No,No,0.0,17922.54
No,No,664.42,27827.05
No,No,456.88,32472.1
No,No,665.99,53758.93
No,No,1751.02,73554.0
No,No,992.21,36897.29
No,No,791.71,40121.21
No,No,418.55,46952.57
No,No,649.61,15356.95
No,No,1371.07,43726.89
No,No,696.89,16956.16
No,No,1652.24,55241.84
No,No,512.3,52766.41
No,No,917.81,40204.53
No,No,585.04,22757.87
No,Yes,722.53,55760.79
No,No,1822.25,36979.2
No,Yes,570.94,34986.21
No,No,665.1,41244.79
No,No,270.42,10680.15
No,Yes,988.97,39230.47
No,No,1133.34,46800.1
No,No,1049.77,38036.92
No,No,1913.3,35453.17
No,Yes,662.61,20798.02
No,No,1143.23,42098.45
No,Yes,855.79,36189.45
No,No,414.61,33636.87
No,No,557.79,26005.1
No,No,468.3,44933.9
No,No,382.81,50148.45
No,No,1049.19,38692.32
No,Yes,1502.39,45475.05
No,No,878.55,51199.85
No,Yes,211.93,54695.72
No,No,1142.71,36525.27
No,No,837.48,30671.06
No,Yes,1355.64,27982.28
No,No,473.41,33699.33
No,No,516.7,40877.02
No,No,987.05,46027.59
No,No,1231.52,27824.97
No,Yes,471.9,35514.5
Yes,Yes,1775.79,20225.61
No,No,763.28,50372.22
No,Yes,712.18,28295.48
No,No,767.53,38289.24
No,Yes,909.03,23922.48
No,No,1093.82,29538.19
No,Yes,0.0,24367.56
No,Yes,905.79,56253.43
No,No,677.88,38308.47
No,No,1682.59,31296.29
No,Yes,431.09,20878.24
No,Yes,1167.65,25377.04
No,Yes,703.81,41100.25
No,No,886.46,55732.78
No,No,842.77,14433.67
No,No,959.17,21286.27
No,No,782.68,31171.69
No,No,307.89,25137.43
No,No,1201.71,11389.15
No,No,1197.04,33773.51
No,No,984.48,43531.9
No,No,1323.94,12483.64
Yes,No,1688.41,36329.36
No,Yes,449.04,46380.88
No,No,1934.08,46589.65
No,No,972.42,27916.6
No,Yes,811.87,64252.13
No,Yes,967.03,40918.99
No,No,1150.42,22699.62
No,No,1910.51,46642.61
No,No,964.71,18545.17
No,Yes,818.36,45455.31
No,No,1587.83,16685.24
No,No,488.04,44058.68
No,No,714.1,25733.62
No,No,903.94,48616.19
No,No,261.78,43393.67
No,No,559.34,39479.96
No,No,217.05,34297.92
No,Yes,389.93,48012.45
No,No,378.99,9466.63
No,Yes,1899.72,39284.54
No,Yes,1063.31,39029.54
No,Yes,804.27,41012.83
No,Yes,462.99,44534.59
No,Yes,1456.39,73554.0
No,No,665.87,35073.41
No,No,521.56,44244.81
No,Yes,607.43,35547.99
No,No,550.27,54489.1
No,No,1120.5,6566.47
No,No,68.66,56159.83
No,No,340.07,24396.76
No,No,1734.5,3346.75
No,No,152.71,19137.32
No,Yes,0.0,31188.61
No,No,1544.34,36106.45
No,No,910.8,32903.99
No,No,1221.74,44409.08
No,No,802.64,33046.88
No,No,1469.77,32673.2
No,No,267.55,4930.08
No,No,339.36,40015.22
No,Yes,1269.77,46988.58
No,No,1035.2,27905.91
No,No,1458.58,8483.2
No,No,747.82,15692.36
No,No,961.77,55834.62
No,No,42.67,25431.62
No,Yes,436.96,24653.11
No,No,1125.58,22587.8
No,No,715.32,42596.27
No,No,1048.6,25676.52
No,Yes,1397.62,21926.59
No,No,1352.13,13427.15
No,No,2654.0,32078.39
No,Yes,786.03,46864.64
Yes,Yes,1855.03,31543.17
No,No,375.97,45281.28
No,Yes,566.19,35855.49
No,Yes,1248.12,35487.55
No,No,1353.56,35902.78
No,No,534.34,33975.31
No,No,651.48,47201.47
No,Yes,1129.88,40022.01
No,Yes,505.05,25806.32
No,No,192.91,35231.28
No,Yes,870.1,32502.94
No,No,1141.64,39983.05
No,No,124.71,35920.7
No,Yes,226.28,39044.81
No,No,586.32,13814.44
No,No,219.95,38578.23
No,No,580.79,51034.33
No,Yes,1427.17,15509.81
No,No,831.26,54866.04
No,Yes,523.76,37477.76
No,No,1416.38,30745.47
No,No,1530.1,9451.35
No,Yes,1520.95,48020.19
No,No,647.31,20586.09
No,Yes,765.99,26698.76
No,No,667.97,40796.18
No,No,358.98,19838.87
No,No,909.71,20355.59
No,No,610.19,18162.53
No,No,851.56,32030.9
No,Yes,1420.34,41364.72
No,No,598.33,38890.49
No,No,1270.25,38949.12
No,Yes,1191.32,28926.01
No,No,1233.02,35389.3
No,No,1397.3,24313.62
No,Yes,1292.21,60157.0
No,No,1588.51,36112.88
No,No,645.77,7444.32
No,Yes,890.02,19255.71
No,Yes,1315.57,54870.97
No,Yes,1176.29,15292.53
No,No,1310.38,27678.9
No,No,804.93,38898.75
No,No,645.51,18891.43
No,Yes,1319.15,47740.24
No,Yes,438.94,55908.26
No,No,958.78,22517.28
No,No,1180.84,48576.29
No,No,1400.32,21630.65
No,No,225.58,20207.34
No,No,1652.97,36792.46
No,No,1039.33,36689.05
No,No,593.35,25567.27
No,No,1029.96,44745.24
No,Yes,601.15,13922.99
No,No,0.0,22104.84
No,Yes,1534.92,19141.53
No,No,776.96,43629.54
No,No,1259.98,44236.84
No,Yes,77.19,42410.32
No,No,896.47,16237.87
No,Yes,238.23,35286.6
No,No,955.8,39619.27
No,Yes,982.69,11951.96
No,Yes,1482.47,22557.9
No,Yes,317.44,42129.22
No,Yes,865.74,42899.93
No,No,129.6,36919.81
No,No,2085.59,40745.12
No,Yes,1156.1,37838.15
No,Yes,281.26,35515.32
No,No,0.0,32058.95
No,Yes,1027.21,21894.58
No,No,1095.66,30241.37
No,No,899.06,28142.73
No,No,1094.33,64425.84
No,No,450.67,36986.57
No,Yes,793.83,33373.37
No,No,0.0,30422.35
No,Yes,306.3,31979.63
No,No,1403.15,29885.05
No,No,217.58,40780.19
No,No,524.8,33123.32
No,No,1126.95,44332.56
No,No,613.12,24245.13
No,No,1440.8,38186.73
No,Yes,385.44,45213.76
No,No,1040.02,18122.8
No,No,1010.91,35753.38
No,No,938.75,36810.89
No,Yes,488.54,29051.81
No,No,693.39,27019.22
No,No,528.1,8778.92
No,No,1124.51,48836.68
No,No,1628.08,21074.53
No,No,569.86,16974.42
No,Yes,409.99,42289.93
No,No,838.98,9080.78
No,No,546.49,46362.18
No,Yes,971.63,39306.75
No,No,374.55,41492.12
No,No,908.37,31328.88
No,No,1081.35,17281.47
No,No,658.14,8327.46
No,No,399.41,52944.05
No,No,1477.13,27222.2
No,Yes,127.76,26625.54
No,No,349.55,54615.72
No,No,1261.14,25095.62
No,Yes,1034.84,30342.57
No,Yes,1397.54,30355.39
No,No,741.96,31682.84
No,No,742.79,19654.0
No,No,472.01,26044.99
No,No,1567.98,50659.28
No,No,1270.93,43665.94
No,No,843.46,772.0
No,No,1488.99,7397.02
No,No,1027.33,37965.38
No,Yes,1188.87,32009.64
No,No,369.64,28521.32
No,Yes,67.31,47421.97
No,No,1809.28,9721.12
No,Yes,730.18,49513.76
No,No,1393.24,35270.9
No,No,601.76,40829.54
No,No,881.88,36894.94
No,Yes,1173.3,44800.13
No,No,1684.86,30177.58
No,No,810.84,26284.45
No,Yes,893.71,43939.04
No,No,679.93,35851.17
No,Yes,818.23,16788.81
No,No,1168.04,51514.45
No,No,1021.12,49662.76
No,No,882.2,52739.02
No,Yes,881.8,34578.84
No,No,0.0,38190.7
No,Yes,1574.36,28427.75
No,No,898.18,20542.35
No,No,762.51,34389.14
No,Yes,587.02,35869.92
No,Yes,1082.67,24677.41
No,No,930.25,57916.81
No,No,860.12,11966.16
No,No,560.72,22642.56
No,Yes,0.0,24562.59
No,Yes,337.37,50735.52
No,Yes,145.64,30094.11
No,Yes,197.97,29182.62
No,Yes,1168.5,21707.09
No,No,547.91,23320.69
No,No,797.37,16117.59
No,No,1299.54,47059.2
No,No,1301.3,41636.16
No,No,985.82,46719.09
No,Yes,773.73,24682.77
No,No,431.61,67014.92
No,Yes,827.93,20429.22
No,No,920.22,6126.34
No,Yes,985.55,29620.42
No,No,388.7,35344.62
No,No,759.1,43602.56
No,Yes,1392.01,19947.54
No,No,502.41,41395.65
No,No,1018.46,56291.92
No,No,23.24,22154.73
No,Yes,837.28,23645.14
No,No,1265.09,10806.65
No,No,941.94,36729.19
No,No,552.38,44950.47
No,No,762.47,43743.92
No,Yes,1101.77,44633.2
No,No,534.62,52401.74
No,Yes,257.66,35215.57
No,Yes,878.12,46222.17
No,No,1116.56,20825.23
No,Yes,70.82,22968.47
No,Yes,824.35,36728.19
No,No,225.7,22606.86
No,No,1858.4,41140.23
No,No,1118.6,51853.69
No,No,521.95,38897.56
Yes,Yes,1660.89,23681.61
No,Yes,1141.36,23534.33
No,No,1184.91,51724.53
No,Yes,105.8,22872.06
No,No,1001.62,34707.14
No,No,1291.57,30063.38
No,No,716.89,34223.09
No,No,247.05,48137.18
No,No,0.0,26330.66
No,No,577.08,14707.0
No,No,1559.22,52876.35
No,Yes,618.98,36490.12
No,No,680.69,43194.32
No,No,0.0,33257.57
No,No,518.37,43886.38
No,No,936.15,50382.54
No,No,1144.9,51737.33
No,Yes,199.82,29869.22
No,No,1160.57,28819.7
No,No,773.99,38781.96
No,No,1579.04,36278.84
No,No,917.75,41061.46
No,No,1052.74,24034.92
No,No,1724.68,2513.82
No,Yes,618.25,39517.46
No,Yes,366.41,43934.69
No,No,927.59,42091.25
No,No,1519.66,55646.33
No,No,384.8,44881.32
No,No,934.38,28337.19
No,No,555.01,46657.64
No,No,1526.07,32383.31
No,No,137.31,50256.48
No,No,0.0,36689.81
No,No,1186.95,39564.02
No,No,978.53,36552.92
No,No,914.44,34242.88
No,No,0.0,13557.71
No,Yes,1226.02,34286.02
No,No,279.23,3209.3
No,Yes,713.91,40154.7
No,No,265.78,46744.23
No,No,199.61,60869.51
No,Yes,468.81,38504.68
No,No,895.76,23960.8
No,No,1142.96,12317.41
No,Yes,375.37,59491.46
No,No,1128.06,14495.26
No,No,1192.06,45458.7
No,No,215.23,2759.59
No,Yes,159.24,32829.34
No,No,278.14,42627.47
No,No,230.19,37853.34
No,No,511.14,32962.02
No,Yes,577.98,22517.68
No,No,778.09,21424.7
No,No,635.3,46967.07
No,Yes,437.89,39326.89
No,No,830.34,31374.39
No,No,929.64,36274.24
No,No,409.23,21157.5
No,Yes,594.8,47149.27
No,No,1607.32,50332.35
No,No,1334.57,23115.91
No,No,1289.1,34876.55
No,Yes,845.07,47495.43
No,No,1376.09,24956.57
No,No,985.41,60649.12
No,No,259.34,53661.75
No,Yes,1101.99,29796.91
No,No,101.76,46568.9
No,Yes,0.0,55683.05
No,No,1047.87,16924.81
No,No,0.0,41773.97
No,No,819.14,31590.95
No,Yes,1241.63,30628.27
No,No,825.83,42988.65
No,Yes,223.01,27153.7
No,No,674.04,14848.9
No,No,1217.04,14550.04
No,No,948.18,33252.81
No,Yes,440.03,41903.03
No,Yes,1031.45,33197.58
No,No,611.33,31480.99
No,No,884.27,33105.3
No,No,900.48,50710.28
No,Yes,751.99,40590.13
No,No,1036.01,23568.53
No,No,646.65,29664.77
No,No,1641.02,49581.73
No,Yes,99.35,25777.09
No,Yes,1568.34,28251.8
No,No,55.87,33181.74
No,No,1186.7,19314.35
No,No,404.11,45549.98
Yes,Yes,1710.58,4317.18
No,Yes,1507.82,52871.5
No,Yes,713.86,27712.73
Yes,Yes,1360.5,16758.23
No,Yes,789.5,37280.27
No,Yes,316.09,10695.12
No,Yes,424.11,40682.1
No,No,641.77,43833.05
No,No,814.6,25835.66
No,No,104.41,28329.69
No,No,343.14,46168.46
Yes,Yes,1145.63,24570.95
No,Yes,776.44,33816.09
No,No,630.78,38151.81
No,No,762.18,54319.62
No,No,1444.85,26806.99
