dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-03,1,0,1,6,0,0,1,3,0.3257,0.2855,0.6045,0.1451,3,14,17
2011-01-03,1,0,1,7,0,0,1,3,0.319,0.3124,0.5212,0.2922,9,35,44
2011-01-03,1,0,1,8,0,0,1,2,0.2402,0.2098,0.599,0.1317,4,24,28
2011-01-03,1,0,1,9,0,0,1,1,0.2487,0.2517,0.9348,0.1587,3,14,17
2011-01-03,1,0,1,10,0,0,1,1,0.2577,0.2377,0.4673,0.1737,0,11,11
2011-01-03,1,0,1,11,0,0,1,1,0.2642,0.2603,0.5765,0.1328,2,14,16
2011-01-03,1,0,1,12,0,0,1,1,0.1853,0.152,0.4902,0.2376,5,29,34
2011-01-03,1,0,1,13,0,0,1,3,0.1764,0.1818,0.6448,0.0206,3,21,24
2011-01-03,1,0,1,14,0,0,1,1,0.1202,0.1204,0.5177,0.2709,8,77,85
2011-01-03,1,0,1,15,0,0,1,1,0.1001,0.0882,0.6291,0.179,3,25,28
2011-01-03,1,0,1,16,0,0,1,3,0.1677,0.1227,0.4382,0.2841,1,11,12
2011-01-03,1,0,1,17,0,0,1,2,0.1815,0.1535,0.6936,0.0398,4,39,43
2011-01-03,1,0,1,18,0,0,1,1,0.1216,0.1179,0.7601,0.0149,5,55,60
2011-01-03,1,0,1,19,0,0,1,1,0.1674,0.1679,0.5949,0.1566,12,41,53
2011-01-03,1,0,1,20,0,0,1,1,0.1497,0.1358,0.6215,0.2205,4,29,33
2011-01-03,1,0,1,21,0,0,1,2,0.1221,0.1395,0.6214,0.1356,1,10,11
2011-01-03,1,0,1,22,0,0,1,3,0.1789,0.1948,0.6502,0.2267,3,19,22
2011-01-03,1,0,1,23,0,0,1,1,0.2453,0.2195,0.6217,0.2585,2,14,16
2011-01-04,1,0,1,0,0,1,1,1,0.2037,0.2497,0.7064,0.2333,0,6,6
2011-01-04,1,0,1,1,0,1,1,1,0.2884,0.2757,0.7445,0.1883,1,6,7
2011-01-04,1,0,1,2,0,1,1,1,0.1403,0.1015,0.5546,0.1876,1,8,9
2011-01-04,1,0,1,3,0,1,1,1,0.2946,0.2788,0.5896,0.1308,2,10,12
2011-01-04,1,0,1,4,0,1,1,3,0.2779,0.2579,0.7124,0.1756,0,1,1
2011-01-04,1,0,1,5,0,1,1,1,0.2705,0.2662,0.4808,0.0981,5,19,24
2011-01-04,1,0,1,6,0,1,1,2,0.2888,0.2551,0.424,0.1172,1,12,13
2011-01-04,1,0,1,7,0,1,1,1,0.2029,0.1933,0.6523,0.2211,10,40,50
2011-01-04,1,0,1,8,0,1,1,2,0.2656,0.2457,0.6731,0.143,2,35,37
2011-01-04,1,0,1,9,0,1,1,2,0.276,0.2659,0.5502,0.121,10,77,87
2011-01-04,1,0,1,10,0,1,1,1,0.3043,0.2983,0.5617,0.2159,3,23,26
2011-01-04,1,0,1,11,0,1,1,1,0.2051,0.2152,0.5535,0.2104,4,26,30
2011-01-04,1,0,1,12,0,1,1,1,0.1728,0.1824,0.546,0.1628,1,10,11
2011-01-04,1,0,1,13,0,1,1,2,0.1644,0.1535,0.7029,0.1681,2,20,22
2011-01-04,1,0,1,14,0,1,1,1,0.2018,0.1751,0.5118,0.2133,3,23,26
2011-01-04,1,0,1,15,0,1,1,1,0.1617,0.1462,0.6073,0.2575,1,19,20
2011-01-04,1,0,1,16,0,1,1,1,0.1147,0.0826,0.548,0.1961,0,1,1
2011-01-04,1,0,1,17,0,1,1,1,0.1484,0.1303,0.4896,0.0846,6,39,45
2011-01-04,1,0,1,18,0,1,1,1,0.129,0.1292,0.7241,0.1623,1,22,23
2011-01-04,1,0,1,19,0,1,1,2,0.1666,0.1975,0.5814,0.1474,2,9,11
2011-01-04,1,0,1,20,0,1,1,1,0.1078,0.1089,0.6581,0.0958,0,14,14
2011-01-04,1,0,1,21,0,1,1,1,0.1355,0.148,0.4856,0.2198,7,33,40
2011-01-04,1,0,1,22,0,1,1,2,0.1495,0.1106,0.5609,0.226,6,36,42
2011-01-04,1,0,1,23,0,1,1,1,0.1259,0.1189,0.713,0.2381,2,21,23
2011-01-05,1,0,1,0,0,2,1,2,0.2177,0.2033,0.887,0.1007,0,3,3
2011-01-05,1,0,1,1,0,2,1,2,0.237,0.2194,0.4287,0.1926,4,14,18
2011-01-05,1,0,1,2,0,2,1,2,0.246,0.2218,0.6053,0.1795,2,15,17
2011-01-05,1,0,1,3,0,2,1,2,0.253,0.1925,0.6659,0.2046,0,6,6
2011-01-05,1,0,1,4,0,2,1,2,0.2185,0.1931,0.5665,0.1904,4,20,24
2011-01-05,1,0,1,5,0,2,1,2,0.2663,0.2499,0.7083,0.179,0,4,4
2011-01-05,1,0,1,6,0,2,1,2,0.2721,0.2622,0.5361,0.1694,3,18,21
2011-01-05,1,0,1,7,0,2,1,1,0.251,0.22,0.6403,0.2685,9,41,50
2011-01-05,1,0,1,8,0,2,1,1,0.2687,0.2443,0.5709,0.1111,1,13,14
2011-01-05,1,0,1,9,0,2,1,1,0.2786,0.2521,0.7441,0.1661,0,5,5
2011-01-05,1,0,1,10,0,2,1,1,0.3213,0.3089,0.5502,0.2665,7,58,65
2011-01-05,1,0,1,11,0,2,1,2,0.2335,0.243,0.5915,0.1151,9,39,48
2011-01-05,1,0,1,12,0,2,1,3,0.2161,0.1932,0.723,0.1192,2,8,10
2011-01-05,1,0,1,13,0,2,1,2,0.1821,0.2209,0.529,0.2387,5,34,39
2011-01-05,1,0,1,14,0,2,1,2,0.0891,0.1132,0.648,0.0661,5,38,43
2011-01-05,1,0,1,15,0,2,1,1,0.1482,0.119,0.4529,0.2329,1,16,17
2011-01-05,1,0,1,16,0,2,1,2,0.139,0.1063,0.5273,0.1408,5,43,48
2011-01-05,1,0,1,17,0,2,1,1,0.2271,0.1851,0.6655,0.2128,6,43,49
2011-01-05,1,0,1,18,0,2,1,2,0.1181,0.1002,0.5391,0.0823,13,42,55
2011-01-05,1,0,1,19,0,2,1,2,0.1406,0.1522,0.5815,0.2748,10,40,50
2011-01-05,1,0,1,20,0,2,1,3,0.1352,0.1274,0.6858,0.0826,2,12,14
2011-01-05,1,0,1,21,0,2,1,2,0.1025,0.0981,0.5818,0.238,5,29,34
2011-01-05,1,0,1,22,0,2,1,1,0.2115,0.1914,0.7111,0.086,0,8,8
2011-01-05,1,0,1,23,0,2,1,1,0.2152,0.2426,0.65,0.3247,1,15,16
2011-01-06,1,0,1,0,0,3,1,2,0.2382,0.2268,0.6697,0.1743,0,5,5
2011-01-06,1,0,1,1,0,3,1,1,0.1909,0.1778,0.755,0.3361,0,3,3
2011-01-06,1,0,1,2,0,3,1,2,0.3027,0.2962,0.6517,0.1145,1,10,11
2011-01-06,1,0,1,3,0,3,1,1,0.2071,0.1786,0.7832,0.1446,0,5,5
2011-01-06,1,0,1,4,0,3,1,1,0.2993,0.2679,0.7112,0.2769,1,9,10
2011-01-06,1,0,1,5,0,3,1,1,0.3715,0.3386,0.5605,0.0659,5,25,30
2011-01-06,1,0,1,6,0,3,1,2,0.2469,0.2274,0.7546,0.1241,2,18,20
2011-01-06,1,0,1,7,0,3,1,1,0.2612,0.2579,0.6503,0.2196,4,26,30
2011-01-06,1,0,1,8,0,3,1,2,0.2798,0.2904,0.5825,0.0985,6,31,37
2011-01-06,1,0,1,9,0,3,1,1,0.243,0.2574,0.6535,0.2217,5,32,37
2011-01-06,1,0,1,10,0,3,1,1,0.1845,0.1734,0.7428,0.1936,1,12,13
2011-01-06,1,0,1,11,0,3,1,2,0.23,0.2352,0.6725,0.0589,2,10,12
2011-01-06,1,0,1,12,0,3,1,1,0.1641,0.1412,0.8158,0.2574,0,6,6
2011-01-06,1,0,1,13,0,3,1,1,0.2048,0.2037,0.7382,0.079,3,14,17
2011-01-06,1,0,1,14,0,3,1,2,0.1298,0.1262,0.6893,0.2417,2,16,18
2011-01-06,1,0,1,15,0,3,1,3,0.212,0.1798,0.5262,0.1903,0,4,4
2011-01-06,1,0,1,16,0,3,1,1,0.106,0.0648,0.6214,0.1436,1,36,37
2011-01-06,1,0,1,17,0,3,1,1,0.1164,0.1185,0.6455,0.0916,3,52,55
2011-01-06,1,0,1,18,0,3,1,3,0.1591,0.1315,0.7038,0.2063,0,4,4
2011-01-06,1,0,1,19,0,3,1,1,0.0801,0.1073,0.7057,0.1102,3,47,50
2011-01-06,1,0,1,20,0,3,1,2,0.1464,0.1409,0.6523,0.2766,4,20,24
2011-01-06,1,0,1,21,0,3,1,3,0.2023,0.1975,0.6418,0.2796,0,0,0
2011-01-06,1,0,1,22,0,3,1,3,0.1023,0.0849,0.7118,0.3114,0,6,6
2011-01-06,1,0,1,23,0,3,1,2,0.1932,0.2293,0.5448,0.2025,2,18,20
2011-01-07,1,0,1,0,0,4,1,1,0.2177,0.2036,0.7978,0.1477,3,11,14
2011-01-07,1,0,1,1,0,4,1,1,0.2593,0.2518,0.4194,0.1562,0,2,2
2011-01-07,1,0,1,2,0,4,1,1,0.1979,0.1981,0.7758,0.1504,0,0,0
2011-01-07,1,0,1,3,0,4,1,1,0.2111,0.1928,0.6244,0.1998,0,0,0
2011-01-07,1,0,1,4,0,4,1,1,0.2975,0.269,0.7205,0.2149,1,9,10
2011-01-07,1,0,1,5,0,4,1,1,0.2965,0.2756,0.6567,0.2785,1,10,11
2011-01-07,1,0,1,6,0,4,1,1,0.2974,0.2947,0.6549,0.1816,10,38,48
2011-01-07,1,0,1,7,0,4,1,1,0.2985,0.3051,0.6756,0.0677,7,56,63
2011-01-07,1,0,1,8,0,4,1,1,0.2494,0.2126,0.706,0.1474,0,19,19
2011-01-07,1,0,1,9,0,4,1,1,0.2732,0.2667,0.5898,0.3045,2,21,23
2011-01-07,1,0,1,10,0,4,1,1,0.2591,0.2231,0.7276,0.0555,14,78,92
2011-01-07,1,0,1,11,0,4,1,2,0.1995,0.2175,0.5216,0.2391,9,34,43
2011-01-07,1,0,1,12,0,4,1,2,0.282,0.2835,0.6213,0.1488,2,19,21
2011-01-07,1,0,1,13,0,4,1,3,0.2056,0.2111,0.713,0.1093,2,24,26
2011-01-07,1,0,1,14,0,4,1,2,0.1197,0.1282,0.7375,0.2116,1,7,8
2011-01-07,1,0,1,15,0,4,1,1,0.177,0.1858,0.6784,0.3049,0,4,4
2011-01-07,1,0,1,16,0,4,1,2,0.0991,0.1268,0.6008,0.2072,7,26,33
2011-01-07,1,0,1,17,0,4,1,2,0.1616,0.1527,0.7235,0.159,1,4,5
2011-01-07,1,0,1,18,0,4,1,1,0.1737,0.154,0.5657,0.0763,2,38,40
2011-01-07,1,0,1,19,0,4,1,2,0.0972,0.0915,0.8154,0.1721,0,3,3
2011-01-07,1,0,1,20,0,4,1,1,0.1766,0.1785,0.6239,0.0734,0,7,7
2011-01-07,1,0,1,21,0,4,1,1,0.1673,0.1322,0.4793,0.1552,1,18,19
2011-01-07,1,0,1,22,0,4,1,1,0.2002,0.1797,0.5105,0.175,4,21,25
2011-01-07,1,0,1,23,0,4,1,2,0.2625,0.2295,0.6281,0.0088,1,7,8
2011-01-08,1,0,1,0,0,5,0,1,0.1983,0.2052,0.6441,0.2911,4,9,13
2011-01-08,1,0,1,1,0,5,0,1,0.1987,0.2029,0.8271,0.0809,1,3,4
2011-01-08,1,0,1,2,0,5,0,1,0.2126,0.2129,0.5249,0.1651,7,19,26
2011-01-08,1,0,1,3,0,5,0,3,0.2321,0.2175,0.6307,0.2227,1,5,6
2011-01-08,1,0,1,4,0,5,0,1,0.2744,0.2612,0.5166,0.2847,2,5,7
2011-01-08,1,0,1,5,0,5,0,2,0.2991,0.2496,0.5708,0.1166,0,1,1
2011-01-08,1,0,1,6,0,5,0,1,0.2992,0.2715,0.7885,0.0207,14,20,34
2011-01-08,1,0,1,7,0,5,0,1,0.3185,0.3199,0.5045,0.2663,0,2,2
2011-01-08,1,0,1,8,0,5,0,1,0.278,0.2718,0.6809,0.08,3,8,11
2011-01-08,1,0,1,9,0,5,0,1,0.3229,0.3031,0.657,0.2088,19,37,56
2011-01-08,1,0,1,10,0,5,0,2,0.2376,0.2315,0.6238,0.2137,3,8,11
2011-01-08,1,0,1,11,0,5,0,1,0.3377,0.341,0.6682,0.0802,5,11,16
2011-01-08,1,0,1,12,0,5,0,1,0.2332,0.2183,0.5107,0.0508,11,18,29
2011-01-08,1,0,1,13,0,5,0,1,0.1532,0.1226,0.8003,0.1431,0,1,1
2011-01-08,1,0,1,14,0,5,0,1,0.1253,0.1172,0.83,0.0267,19,37,56
2011-01-08,1,0,1,15,0,5,0,2,0.1709,0.2101,0.6376,0.073,31,69,100
2011-01-08,1,0,1,16,0,5,0,1,0.1299,0.1138,0.8793,0.1898,7,11,18
2011-01-08,1,0,1,17,0,5,0,1,0.1594,0.1433,0.5942,0.1729,12,23,35
2011-01-08,1,0,1,18,0,5,0,2,0.1471,0.1498,0.6753,0.2042,7,12,19
2011-01-08,1,0,1,19,0,5,0,3,0.128,0.1375,0.7804,0.2159,6,9,15
2011-01-08,1,0,1,20,0,5,0,1,0.105,0.102,0.5936,0.0455,5,10,15
2011-01-08,1,0,1,21,0,5,0,1,0.091,0.0456,0.5027,0.0772,1,3,4
2011-01-08,1,0,1,22,0,5,0,1,0.1503,0.1111,0.4738,0.2409,10,17,27
2011-01-08,1,0,1,23,0,5,0,1,0.2217,0.2332,0.8339,0.3019,4,9,13
2011-01-09,1,0,1,0,0,6,0,2,0.2176,0.1982,0.5753,0.1026,6,14,20
2011-01-09,1,0,1,1,0,6,0,1,0.1799,0.1775,0.6134,0.2007,6,13,19
2011-01-09,1,0,1,2,0,6,0,1,0.2559,0.2403,0.5131,0.2446,3,7,10
2011-01-09,1,0,1,3,0,6,0,2,0.281,0.2293,0.7167,0.199,0,1,1
2011-01-09,1,0,1,4,0,6,0,1,0.2429,0.2225,0.5475,0.1601,0,3,3
2011-01-09,1,0,1,5,0,6,0,2,0.2924,0.2809,0.5716,0.1287,5,12,17
2011-01-09,1,0,1,6,0,6,0,1,0.2913,0.2683,0.6508,0.3388,15,33,48
2011-01-09,1,0,1,7,0,6,0,1,0.2406,0.2575,0.5195,0.1877,5,8,13
2011-01-09,1,0,1,8,0,6,0,1,0.2926,0.2814,0.6029,0.2111,2,4,6
2011-01-09,1,0,1,9,0,6,0,1,0.288,0.3038,0.7614,0.2059,3,8,11
2011-01-09,1,0,1,10,0,6,0,1,0.2923,0.2661,0.6636,0.115,5,10,15
2011-01-09,1,0,1,11,0,6,0,1,0.2719,0.2697,0.6359,0.1841,11,31,42
2011-01-09,1,0,1,12,0,6,0,1,0.1539,0.1288,0.6561,0.1542,2,8,10
2011-01-09,1,0,1,13,0,6,0,1,0.1508,0.1582,0.596,0.1528,0,0,0
2011-01-09,1,0,1,14,0,6,0,1,0.1896,0.1686,0.8307,0.2054,14,32,46
2011-01-09,1,0,1,15,0,6,0,2,0.173,0.149,0.5515,0.1067,6,17,23
2011-01-09,1,0,1,16,0,6,0,1,0.1603,0.1939,0.6551,0.0836,0,0,0
2011-01-09,1,0,1,17,0,6,0,2,0.2859,0.2642,0.6329,0.2202,5,12,17
2011-01-09,1,0,1,18,0,6,0,4,0.1519,0.1336,0.7357,0.1375,1,5,6
2011-01-09,1,0,1,19,0,6,0,3,0.1772,0.1604,0.7426,0.1524,3,10,13
2011-01-09,1,0,1,20,0,6,0,2,0.1779,0.1474,0.629,0.0257,8,17,25
2011-01-09,1,0,1,21,0,6,0,2,0.1785,0.159,0.6612,0.257,8,14,22
2011-01-09,1,0,1,22,0,6,0,1,0.1564,0.1208,0.6672,0.2219,1,3,4
2011-01-09,1,0,1,23,0,6,0,1,0.2187,0.2088,0.4009,0.2366,2,3,5
2011-01-10,1,0,1,0,0,0,1,2,0.179,0.1482,0.4732,0.211,0,13,13
2011-01-10,1,0,1,1,0,0,1,1,0.2212,0.1925,0.5674,0.0587,1,9,10
2011-01-10,1,0,1,2,0,0,1,1,0.2305,0.2389,0.5708,0.1983,4,18,22
2011-01-10,1,0,1,3,0,0,1,1,0.2698,0.244,0.5031,0.1313,1,5,6
2011-01-10,1,0,1,4,0,0,1,3,0.3718,0.3663,0.6878,0.103,0,2,2
2011-01-10,1,0,1,5,0,0,1,1,0.2125,0.2038,0.629,0.22,3,16,19
2011-01-10,1,0,1,6,0,0,1,1,0.3174,0.3166,0.5968,0.3127,4,23,27
2011-01-10,1,0,1,7,0,0,1,1,0.2227,0.2172,0.5021,0.2995,8,55,63
2011-01-10,1,0,1,8,0,0,1,1,0.2603,0.216,0.6195,0.2298,1,13,14
2011-01-10,1,0,1,9,0,0,1,2,0.3101,0.2695,0.3563,0.1776,4,33,37
2011-01-10,1,0,1,10,0,0,1,2,0.2525,0.2426,0.6085,0.1628,5,29,34
2011-01-10,1,0,1,11,0,0,1,1,0.1875,0.2275,0.6376,0.1076,5,40,45
2011-01-10,1,0,1,12,0,0,1,2,0.1813,0.1486,0.6561,0.1584,1,10,11
2011-01-10,1,0,1,13,0,0,1,1,0.2164,0.2466,0.4719,0.2527,3,18,21
2011-01-10,1,0,1,14,0,0,1,2,0.1407,0.1552,0.6584,0.3259,2,16,18
2011-01-10,1,0,1,15,0,0,1,1,0.162,0.1622,0.5297,0.1147,5,30,35
2011-01-10,1,0,1,16,0,0,1,1,0.1425,0.1389,0.5545,0.0204,7,44,51
2011-01-10,1,0,1,17,0,0,1,1,0.1066,0.0938,0.7111,0.1375,8,50,58
2011-01-10,1,0,1,18,0,0,1,2,0.2157,0.2033,0.8298,0.2523,6,72,78
2011-01-10,1,0,1,19,0,0,1,2,0.158,0.1877,0.6393,0.3458,2,15,17
2011-01-10,1,0,1,20,0,0,1,2,0.0596,0.0916,0.5623,0.2848,9,49,58
2011-01-10,1,0,1,21,0,0,1,1,0.1608,0.1553,0.6528,0.2828,0,0,0
2011-01-10,1,0,1,22,0,0,1,2,0.1435,0.1048,0.7296,0.112,1,10,11
2011-01-10,1,0,1,23,0,0,1,1,0.2233,0.2174,0.6898,0.1143,1,11,12
2011-01-11,1,0,1,0,0,1,1,2,0.1792,0.1865,0.9064,0.0741,1,15,16
2011-01-11,1,0,1,1,0,1,1,1,0.227,0.2321,0.5558,0.1268,0,1,1
2011-01-11,1,0,1,2,0,1,1,2,0.2711,0.2827,0.6481,0.2531,2,7,9
2011-01-11,1,0,1,3,0,1,1,2,0.3021,0.267,0.7747,0.31,1,6,7
2011-01-11,1,0,1,4,0,1,1,2,0.2321,0.2099,0.7754,0.2076,1,6,7
2011-01-11,1,0,1,5,0,1,1,2,0.2748,0.2918,0.4275,0.1596,0,8,8
2011-01-11,1,0,1,6,0,1,1,1,0.2719,0.2395,0.6225,0.0947,0,4,4
2011-01-11,1,0,1,7,0,1,1,1,0.262,0.2207,0.7723,0.171,1,16,17
2011-01-11,1,0,1,8,0,1,1,2,0.3508,0.2878,0.904,0.1963,4,21,25
2011-01-11,1,0,1,9,0,1,1,1,0.2836,0.2873,0.692,0.063,10,41,51
2011-01-11,1,0,1,10,0,1,1,1,0.2004,0.2165,0.5932,0.2537,2,10,12
2011-01-11,1,0,1,11,0,1,1,1,0.2683,0.2617,0.5223,0.1461,2,17,19
2011-01-11,1,0,1,12,0,1,1,1,0.2958,0.2881,0.8423,0.2489,12,63,75
2011-01-11,1,0,1,13,0,1,1,1,0.2315,0.2159,0.6997,0.1791,2,25,27
2011-01-11,1,0,1,14,0,1,1,2,0.1101,0.0813,0.5542,0.2038,1,15,16
2011-01-11,1,0,1,15,0,1,1,1,0.1349,0.1541,0.6162,0.1238,8,64,72
2011-01-11,1,0,1,16,0,1,1,1,0.1923,0.1455,0.6618,0.1524,10,33,43
2011-01-11,1,0,1,17,0,1,1,1,0.1053,0.1356,0.6939,0.2314,6,31,37
2011-01-11,1,0,1,18,0,1,1,1,0.1486,0.1486,0.5452,0.1695,4,36,40
2011-01-11,1,0,1,19,0,1,1,2,0.1646,0.1607,0.5721,0.0916,28,124,152
2011-01-11,1,0,1,20,0,1,1,1,0.1045,0.0864,0.4743,0.1889,5,45,50
2011-01-11,1,0,1,21,0,1,1,1,0.1519,0.1366,0.7388,0.2109,0,6,6
2011-01-11,1,0,1,22,0,1,1,1,0.0412,0.0083,0.6117,0.2898,1,6,7
2011-01-11,1,0,1,23,0,1,1,2,0.1492,0.1138,0.6817,0.2722,0,2,2
2011-01-12,1,0,1,0,0,2,1,1,0.2018,0.1928,0.7721,0.1748,2,20,22
2011-01-12,1,0,1,1,0,2,1,3,0.1826,0.174,0.6537,0.1362,0,3,3
2011-01-12,1,0,1,2,0,2,1,2,0.3172,0.3322,0.607,0.1617,0,3,3
2011-01-12,1,0,1,3,0,2,1,2,0.2112,0.2093,0.6483,0.1381,1,6,7
2011-01-12,1,0,1,4,0,2,1,1,0.2635,0.2458,0.63,0.2205,0,6,6
2011-01-12,1,0,1,5,0,2,1,1,0.2944,0.2653,0.7452,0.2633,1,6,7
2011-01-12,1,0,1,6,0,2,1,1,0.3495,0.3166,0.6461,0.2792,4,31,35
2011-01-12,1,0,1,7,0,2,1,1,0.2317,0.2179,0.5724,0.147,6,37,43
2011-01-12,1,0,1,8,0,2,1,4,0.3277,0.3157,0.722,0.139,0,4,4
2011-01-12,1,0,1,9,0,2,1,1,0.2688,0.2472,0.7462,0.1464,3,23,26
2011-01-12,1,0,1,10,0,2,1,1,0.2126,0.2316,0.4949,0.0254,6,44,50
2011-01-12,1,0,1,11,0,2,1,2,0.251,0.2372,0.7782,0.0838,1,19,20
2011-01-12,1,0,1,12,0,2,1,1,0.2198,0.2423,0.6645,0.1772,1,13,14
2011-01-12,1,0,1,13,0,2,1,1,0.1671,0.1546,0.6616,0.2103,7,35,42
2011-01-12,1,0,1,14,0,2,1,3,0.1746,0.2058,0.7332,0.2193,3,19,22
2011-01-12,1,0,1,15,0,2,1,1,0.1399,0.1165,0.5793,0.1176,0,7,7
2011-01-12,1,0,1,16,0,2,1,2,0.1471,0.1359,0.7307,0.1407,10,35,45
2011-01-12,1,0,1,17,0,2,1,1,0.1611,0.1689,0.5962,0.1584,1,11,12
2011-01-12,1,0,1,18,0,2,1,1,0.1953,0.1759,0.483,0.1495,13,37,50
2011-01-12,1,0,1,19,0,2,1,1,0.0851,0.0781,0.5417,0.235,0,7,7
2011-01-12,1,0,1,20,0,2,1,2,0.2279,0.1945,0.6839,0.0753,1,9,10
