year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2004,53,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.6337,102.898
2006,21,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.804,122.002
2006,26,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.3815,79.959
2009,37,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.6394,103.485
2004,66,2. Married,2. Black,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.5052,90.488
2004,19,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.495,89.568
2006,18,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.3787,79.736
2006,34,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.6722,106.938
2003,72,3. Widowed,2. Black,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.6175,101.243
2008,49,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.8294,125.139
2009,47,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7769,118.734
2003,62,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7197,112.133
2007,46,4. Divorced,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7118,111.249
2008,78,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.7044,110.436
2009,25,2. Married,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.5105,90.967
2007,41,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.1687,64.628
2004,28,5. Separated,2. Black,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.6849,108.297
2009,59,3. Widowed,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.368,78.884
2006,53,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7311,113.424
2006,18,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.6202,101.516
2005,79,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7376,114.161
2008,25,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.5751,97.035
2003,41,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7344,113.796
2004,46,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4388,84.674
2008,73,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7476,115.303
2009,50,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8607,129.109
2003,39,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.8322,125.484
2005,54,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.8546,128.324
2003,53,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.6004,99.522
2006,51,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.6781,107.569
2008,21,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.9591,142.466
2005,77,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.8312,125.358
2005,45,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.6967,109.581
2006,51,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.8614,129.21
2003,37,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.518,91.65
2005,45,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.6515,104.739
2003,22,3. Widowed,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7606,116.821
2006,37,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.6188,101.377
2009,51,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.9481,140.913
2003,77,4. Divorced,2. Black,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. No,4.8124,123.027
2006,48,3. Widowed,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.9147,136.273
2006,75,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.4934,89.421
2005,55,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.7379,114.196
2003,27,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.5724,96.774
2008,47,5. Separated,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.8265,124.78
2009,35,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.755,116.163
2009,49,1. Never Married,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7483,115.388
2006,20,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.6742,107.15
2009,37,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,5.0685,158.934
2004,68,3. Widowed,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.6791,107.674
2003,36,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.5621,95.787
2006,39,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.8472,127.387
2004,73,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.9179,136.71
2007,21,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.6086,100.343
2008,29,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.8519,127.981
2009,76,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.403,81.698
2009,65,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.804,121.992
2009,34,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.6007,99.559
2006,30,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,5.0573,157.167
2004,47,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7637,117.176
2005,61,2. Married,3. Asian,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.9903,146.986
2009,59,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7317,113.492
2003,27,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.5222,92.034
2005,30,2. Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.5233,92.141
2008,21,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.3429,76.928
2007,64,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.5778,97.297
2004,32,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.7881,120.072
2007,78,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.3566,77.995
2009,38,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.7412,114.571
2005,71,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.9272,137.997
2005,78,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.7503,115.621
2005,33,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.8232,124.363
2006,77,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.7447,114.975
2005,53,4. Divorced,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.8266,124.783
2009,66,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.378,79.677
2003,22,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8143,123.255
2008,61,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.861,129.153
2004,26,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.5511,94.735
2008,44,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.6363,103.159
2007,76,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.6915,109.014
2003,72,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.816,123.472
2009,61,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.4901,89.133
2004,65,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.3866,80.363
2007,41,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.4035,81.737
2006,31,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.8812,131.787
2003,68,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.5206,91.893
2009,57,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7155,111.668
2003,21,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.4462,85.3
2005,47,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.6739,107.12
2005,30,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.5021,90.207
2008,30,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4998,89.996
2007,33,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8255,124.652
2007,47,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7577,116.482
2007,26,3. Widowed,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4823,88.438
2007,72,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,5.0547,156.763
2004,56,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.4772,87.986
2006,71,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.4813,88.35
2005,24,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.1622,64.214
2007,39,3. Widowed,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.973,144.458
2003,62,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7789,118.969
2007,45,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7253,112.762
2007,25,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8203,123.999
2009,35,5. Separated,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.6971,109.629
2008,60,5. Separated,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.8174,123.648
2008,65,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,5.0176,151.048
2006,23,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.6619,105.834
2006,54,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. No,4.8415,126.656
2009,70,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.741,114.553
2003,59,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.7247,112.702
2008,59,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.9106,135.727
2009,47,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8478,127.458
2008,44,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7197,112.136
2003,18,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.0313,56.334
2004,78,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.5843,97.93
2009,40,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.5253,92.326
2005,52,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. No,4.7409,114.533
2008,30,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.6958,109.489
2004,24,5. Separated,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7326,113.59
2004,58,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.7632,117.118
2005,52,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7341,113.761
2004,77,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.851,127.864
2007,60,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.9405,139.841
2008,64,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.3118,74.576
2008,70,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8698,130.29
2008,67,5. Separated,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,5.0029,148.841
2004,47,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.8523,128.039
2007,56,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.6349,103.019
2004,60,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.5286,92.63
2009,35,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.6651,106.173
2008,23,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.834,125.709
2008,33,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.7151,111.625
2008,67,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.4184,82.959
2003,72,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,3.7329,41.8
2003,30,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.7137,111.459
2008,59,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. No,5.0536,156.579
2008,58,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4476,85.424
2003,46,3. Widowed,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.551,94.727
2009,72,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.8164,123.52
2006,65,1. Never Married,2. Black,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.7238,112.592
2004,55,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.8812,131.792
2008,27,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. No,4.2692,71.466
2005,41,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.6616,105.807
2004,39,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4933,89.413
2009,22,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.8504,127.79
2009,45,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.7386,114.276
2004,30,2. Married,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8628,129.384
2004,59,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. No,4.3839,80.149
2003,29,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4887,89.005
2003,24,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.4972,89.763
2005,74,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.6636,106.021
2004,51,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.5422,93.899
2004,39,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.3449,77.081
2003,39,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.5322,92.959
2007,48,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4006,81.497
2004,61,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8608,129.131
2008,46,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.6926,109.134
2009,74,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4288,83.829
2003,69,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.8094,122.652
2009,73,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.3438,77.003
2008,73,5. Separated,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. No,4.7526,115.889
2004,75,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.6,99.486
2007,30,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.9026,134.634
2004,30,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. No,4.8069,122.349
2003,63,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.588,98.296
2005,54,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.8798,131.606
2006,25,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. No,4.6046,99.941
2006,39,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.7537,116.008
2004,76,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,3.8056,44.954
2007,59,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.6671,106.384
2003,56,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.5655,96.107
2006,33,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8624,129.331
2007,61,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.4549,86.052
